DATE,GDP
1986-01-01,4579.6325000000000000
1987-01-01,4855.2162500000000000
1988-01-01,5236.4380000000000000
1989-01-01,5641.5795000000000000
1990-01-01,5963.1445000000000000
1991-01-01,6158.1292500000000000
1992-01-01,6520.3272500000000000
1993-01-01,6858.5585000000000000
1994-01-01,7287.2365000000000000
1995-01-01,7639.7492500000000000
1996-01-01,8073.1217500000000000
1997-01-01,8577.5525000000000000
1998-01-01,9062.8167500000000000
1999-01-01,9630.6625000000000000
2000-01-01,10252.3465000000000000
2001-01-01,10581.8222500000000000
